1,1,214.8548,143.2419,151.9275
1,101,194.5323,169.371,180
1,201,165.5,187.7581,153.4349
1,301,162.5968,194.5323,116.5651
1,401,175.1774,190.6613,183.5763
1,501,176.1452,196.4677,82.5686
1,601,168.4032,214.8548,49.3987
1,701,165.5,223.5645,352.875
1,801,221.629,181.9516,307.3039
1,901,247.7581,159.6935,302.9052
1,1001,249.6935,156.7903,325.3048
1,1101,281.629,129.6935,336.3706
1,1201,284.7391,136.9941,330.4946
1,1301,265.1774,126.7903,200.2249
1,1401,253.5645,116.1452,198.4349
1,1501,263.2419,123.8871,182.7263
1,1601,270.9839,119.0484,84.8056
1,1701,271.9516,143.2419,94.0856
1,1801,279.6935,172.2742,40.6013
1,1901,254.5323,171.3065,135
1,2001,235.1774,197.4355,75.9638
1,2101,248.7258,211.9516,72.2553
1,2201,224.5323,267.1129,103.134
1,2301,241.9516,330.9839,60.0184
1,2401,251.629,337.7581,24.6236
1,2501,294.2097,340.6613,340.821
1,2601,305.8226,334.8548,360
1,2701,303.4441,333.1846,8.6428
1,2801,301.9516,338.7258,70.56
1,2901,296.1452,336.7903,87.5104
1,3001,292.6441,336.5165,80.3223
1,3101,233.2419,372.5968,137.1211
1,3201,238.4937,369.2517,147.2627
1,3301,238.5532,368.5851,149.3346
1,3401,219.6935,372.5968,150.9454
1,3501,218.7258,391.9516,80.5377
1,3601,204.2097,433.5645,140.9061
1,3701,182.9194,446.1452,148.3925
1,3801,184.8548,450.0161,188.9726
1,3901,194.5323,445.1774,98.1301
1,4001,203.2419,463.5645,23.6294
1,4101,200.5146,470.0171,11.8271
1,4201,223.5645,467.4355,343.0725
1,4301,245.8226,458.7258,339.1455
1,4401,297.1129,470.3387,360
1,4501,325.1774,470.3387,360
1,4601,341.629,465.5,345.4655
1,4701,330.0161,459.6935,275.7106
1,4801,332.9194,412.2742,261.8699
1,4901,333.1665,394.4792,256.4501
1,5001,325.1774,380.3387,235.4915
1,5101,285.5,369.6935,177.5104
1,5201,266.1452,323.2419,272.7263
1,5301,243.8871,239.0484,263.6598
1,5401,216.7903,162.5968,260.5377
1,5501,207.1129,150.9839,255.3791
1,5601,201.3065,122.9194,229.0856
1,5701,194.5323,123.8871,211.4296
1,5801,222.5968,130.6613,312.7094
1,5901,267.1129,108.4032,353.991
1,6001,330.9839,108.4032,360
1,6101,361.9516,118.0806,334.5367
1,6201,382.9073,118.3665,1.3455
1,6301,394.8548,127.7581,336.8014
1,6401,396.8607,123.0475,331.704
1,6501,395.8226,129.6935,227.2906
1,6601,349.371,114.2097,180
1,6701,297.1129,150.9839,171.8699
1,6801,240.9839,160.6613,204.2277
1,6901,187.7581,195.5,168.6901
1,7001,176.1452,210.0161,132.8789
1,7101,166.4677,215.8226,141.3402
1,7201,216.7903,202.2742,342.4744
1,7301,226.4677,195.5,296.5651
1,7401,226.8317,196.4058,290.8575
1,7501,226.7894,194.9303,293.7318
1,7601,225.9047,196.4392,296.8397
1,7701,238.0806,191.629,280.7843
1,7801,221.629,179.0484,253.6105
1,7901,222.5165,175.6773,249.566
1,8001,223.0823,176.4265,255.5763
1,8101,222.5165,175.6773,249.566
1,8201,222.5165,175.6773,249.566
1,8301,223.9748,176.1722,254.7989
1,8401,224.0605,174.0117,253.6356
